Date,Open,High,Low,Close,Adj Close,Volume,next1_Date,next2_Date,next1_Open,next2_Open,sma_200,sma_50,sma_200_pct,Volume_sma_20,atr,rsi,aroon,symbol,date,days,start
2023-09-21,20.5,20.74,20.09,20.42,20.42,4295500.0,2023-09-22,2023-09-25,20.66,20.77,15.01,18.88,0.7890345649582835,7613755.0,2.987267384916748,60.0,55.0,fti,2023-09-21,19.0,2023-08-24
2023-09-21,92.42,92.71,90.09,90.62,90.62,1255300.0,2023-09-22,2023-09-25,90.62,90.52,65.46,85.67,1.0933802366485446,1783460.0,3.100860737144118,56.0,85.0,wfrd,2023-09-21,7.0,2023-09-12
2023-09-21,24.79,25.41,24.54,25.14,25.14,2089600.0,2023-09-22,2023-09-25,26.48,25.21,17.48,22.53,1.5187319884726223,2350580.0,5.409705648369133,54.0,70.0,mnso,2023-09-21,8.0,2023-09-11
2023-09-21,50.05,50.2,49.24,49.32,49.32,1161800.0,2023-09-22,2023-09-25,49.62,50.25,31.99,44.48,0.38905775075987825,1801795.0,3.3049472830494726,56.0,35.0,anf,2023-09-21,0.0,2023-09-21
2023-09-21,11.9,12.28,11.79,12.27,12.27,5333400.0,2023-09-22,2023-09-25,12.38,11.78,11.08,11.72,0.45789473684210535,3924605.0,2.93398533007335,58.0,90.0,coty,2023-09-21,0.0,2023-09-21
2023-09-21,24.75,24.94,24.15,24.78,24.78,2612800.0,2023-09-22,2023-09-25,25.04,23.31,21.09,21.74,0.4779257182901191,3812695.0,4.640839386602098,57.0,75.0,arry,2023-09-21,0.0,2023-09-21
2023-09-22,49.62,51.35,49.55,50.63,50.63,1417300.0,2023-09-25,2023-09-26,50.25,51.2,32.13,44.81,0.40000000000000013,1678890.0,3.160181710448351,59.0,35.0,anf,2023-09-22,1.0,2023-09-21
2023-09-22,12.38,12.53,11.85,11.87,11.87,4302800.0,2023-09-25,2023-09-26,11.78,11.49,11.1,11.71,0.4624505928853755,3976655.0,3.2013479359730415,53.0,95.0,coty,2023-09-22,1.0,2023-09-21
2023-09-22,25.04,25.14,23.61,23.61,23.61,4651700.0,2023-09-25,2023-09-26,23.31,22.77,21.1,21.8,0.4724354501046757,3846290.0,4.997882253282508,52.0,70.0,arry,2023-09-22,1.0,2023-09-21
2023-09-22,95.72,96.38,94.44,95.93,95.93,8974600.0,2023-09-25,2023-09-26,92.89,96.02,81.81,87.4,0.5251677852348993,12455725.0,4.5449807151047645,57.0,25.0,pdd,2023-09-22,3.0,2023-09-19
2023-09-22,36.73,36.91,36.21,36.45,36.45,2666200.0,2023-09-25,2023-09-26,36.44,36.5,20.54,33.87,0.715956558061821,5270085.0,4.11522633744856,55.0,25.0,vrt,2023-09-22,11.0,2023-09-07
2023-09-22,11.1,11.36,11.06,11.22,11.22,1819400.0,2023-09-25,2023-09-26,11.22,11.25,7.96,9.75,0.7610619469026549,2302920.0,3.297682709447415,70.0,55.0,hlx,2023-09-22,17.0,2023-08-29
2023-09-22,20.66,20.98,20.63,20.85,20.85,4785400.0,2023-09-25,2023-09-26,20.77,20.89,15.05,18.95,0.789536266349584,7708350.0,2.925659472422062,63.0,55.0,fti,2023-09-22,20.0,2023-08-24
2023-09-22,90.62,91.57,90.3,90.62,90.62,1124500.0,2023-09-25,2023-09-26,90.52,89.86,65.71,85.95,1.0986905142127115,1811800.0,3.067755462370337,56.0,80.0,wfrd,2023-09-22,8.0,2023-09-12
2023-09-22,26.48,26.54,25.28,25.78,25.78,2500700.0,2023-09-25,2023-09-26,25.21,26.08,17.56,22.66,1.526618705035971,2387795.0,5.275407292474787,57.0,70.0,mnso,2023-09-22,9.0,2023-09-11
2023-09-22,56.91,57.4,55.07,55.27,55.27,1202200.0,2023-09-25,2023-09-26,53.6,54.88,43.15,53.46,1.1803941384537646,1266925.0,3.6909715939931247,53.0,65.0,edu,2023-09-22,0.0,2023-09-22
2023-09-25,50.25,52.83,50.03,51.76,51.76,1596800.0,2023-09-26,2023-09-27,51.2,53.27,32.27,45.15,0.4110188019239178,1616640.0,3.1877897990726427,61.0,35.0,anf,2023-09-25,2.0,2023-09-21
2023-09-25,11.78,11.89,11.63,11.79,11.79,3237400.0,2023-09-26,2023-09-27,11.49,11.58,11.12,11.7,0.4670184696569919,3950465.0,3.223070398642918,52.0,65.0,coty,2023-09-25,2.0,2023-09-21
2023-09-25,92.89,96.76,92.61,96.69,96.69,4935700.0,2023-09-26,2023-09-27,96.02,94.25,81.86,87.74,0.5215613382899629,12280380.0,4.581652704519599,58.0,20.0,pdd,2023-09-25,4.0,2023-09-19
2023-09-25,11.22,11.4,11.11,11.35,11.35,1852300.0,2023-09-26,2023-09-27,11.25,11.36,7.99,9.81,0.7637969094922736,2334900.0,3.2599118942731278,72.0,50.0,hlx,2023-09-25,18.0,2023-08-29
2023-09-25,20.77,21.21,20.69,21.06,21.06,4703800.0,2023-09-26,2023-09-27,20.89,21.13,15.1,19.02,0.7890995260663507,7805800.0,2.9439696106362776,65.0,50.0,fti,2023-09-25,21.0,2023-08-24
2023-09-25,53.6,54.79,53.44,54.66,54.66,1242800.0,2023-09-26,2023-09-27,54.88,58.32,43.28,53.64,1.179254783484391,1283435.0,3.7321624588364437,52.0,50.0,edu,2023-09-25,1.0,2023-09-22
2023-09-25,25.21,26.79,25.15,26.34,26.34,1492000.0,2023-09-26,2023-09-27,26.08,26.5,17.63,22.81,1.533045977011494,2400315.0,5.353075170842824,58.0,65.0,mnso,2023-09-25,10.0,2023-09-11
2023-09-25,152.66,154.74,152.24,154.2,154.2,2123700.0,2023-09-26,2023-09-27,152.88,152.02,125.23,142.24,0.3010909090909091,3686125.0,2.3540856031128405,64.0,70.0,mpc,2023-09-25,0.0,2023-09-25
2023-09-25,9.95,10.16,9.85,10.11,10.11,2610700.0,2023-09-26,2023-09-27,10.07,10.11,9.36,9.42,0.3146067415730336,2604860.0,2.769535113748764,64.0,40.0,dht,2023-09-25,0.0,2023-09-25
2023-09-25,24.73,25.75,24.65,25.64,25.64,1452100.0,2023-09-26,2023-09-27,25.38,26.26,19.3,22.86,0.6273187183811131,1125890.0,3.978159126365054,64.0,55.0,oii,2023-09-25,0.0,2023-09-25
2023-09-26,152.88,153.0,150.32,151.02,151.02,3004800.0,2023-09-27,2023-09-28,152.02,151.89,125.44,142.9,0.30097490147272343,3710350.0,2.430141703085684,58.0,70.0,mpc,2023-09-26,1.0,2023-09-25
