start,symbol,Start_Datum,Start_Open,Ende_Datum,Ende_Open,Close,Volume,days,profit,sum
2023-10-24,anf,2023-10-25,62.18,2023-10-26,61.35,62.35,1748400.0,0.0,-1.3348343518816312,-80.18141803455731
2023-10-24,edu,2023-10-25,61.5,2023-10-26,66.01,62.8,2077600.0,0.0,7.333333333333342,-72.84808470122397
2023-10-24,ge,2023-10-25,91.25,2023-10-26,89.2,90.68,15904078.0,0.0,-2.24657534246575,-75.09466004368971
2023-10-24,rely,2023-10-25,27.03,2023-10-26,26.17,27.17,1636200.0,0.0,-3.1816500184979635,-78.27631006218768
2023-10-24,meta,2023-10-25,310.0,2023-10-26,295.0,312.55,19525500.0,0.0,-4.838709677419355,-83.11501973960704
2023-10-24,cls,2023-10-25,26.15,2023-10-26,24.26,26.01,2629300.0,0.0,-7.227533460803048,-90.34255320041008
2023-10-24,nflx,2023-10-25,416.02,2023-10-26,411.42,413.73,6459200.0,0.0,-1.1057160713427157,-91.44826927175279
2023-11-02,anf,2023-11-03,63.81,2023-11-13,66.89,63.31,1154500.0,5.0,4.826829650524993,-86.6214396212278
2023-11-02,ftai,2023-11-03,40.16,2023-11-06,39.43,39.47,1867500.0,0.0,-1.817729083665331,-88.43916870489312
2023-11-02,coco,2023-11-03,28.99,2023-11-07,27.39,28.48,1527300.0,1.0,-5.519144532597441,-93.95831323749056
2023-11-02,phm,2023-11-03,82.68,2023-11-15,87.51,80.17,3721200.0,7.0,5.841799709724235,-88.11651352776633
2023-11-02,fti,2023-11-03,22.34,2023-11-17,20.3,22.44,5599700.0,9.0,-9.13160250671441,-97.24811603448074
2023-11-02,aclx,2023-11-03,40.84,2023-11-07,45.4,40.77,2684900.0,1.0,11.165523996082259,-86.08259203839849
2023-11-02,lpg,2023-11-03,37.63,2023-11-08,36.8,38.79,1881300.0,2.0,-2.205686951900094,-88.28827899029858
2023-11-02,wfrd,2023-11-03,99.48,2023-11-08,91.18,99.11,1639000.0,2.0,-8.343385605146759,-96.63166459544534
2023-11-02,tnk,2023-11-03,50.61,2023-11-06,53.33,51.92,1084400.0,0.0,5.374431930448526,-91.25723266499682
2023-11-02,nflx,2023-11-03,428.76,2023-11-08,435.0,424.71,4476000.0,2.0,1.4553596417576289,-89.8018730232392
2023-11-03,bbio,2023-11-06,29.0,2023-11-09,29.56,28.83,2227200.0,2.0,1.9310344827586163,-87.87083854048058
2023-11-03,mnso,2023-11-06,27.0,2023-11-07,26.82,26.64,1422800.0,0.0,-0.6666666666666656,-88.53750520714725
2023-11-06,edu,2023-11-07,65.5,2023-11-09,68.4,65.53,1625200.0,1.0,4.427480916030543,-84.1100242911167
2023-11-06,ftai,2023-11-07,40.44,2023-11-09,39.99,40.51,1277600.0,1.0,-1.1127596439169034,-85.2227839350336
2023-11-06,bldr,2023-11-07,125.28,2023-11-10,122.51,125.59,1639700.0,2.0,-2.211047254150699,-87.4338311891843
2023-11-07,aclx,2023-11-08,47.3,2023-11-09,46.98,47.74,1170400.0,0.0,-0.676532769556026,-88.11036395874034
2023-11-07,mnso,2023-11-08,26.56,2023-11-09,27.0,26.78,1094500.0,0.0,1.6566265060241014,-86.45373745271624
2023-11-07,coco,2023-11-08,28.05,2023-11-10,28.52,27.83,2078100.0,1.0,1.6755793226381421,-84.7781581300781
2023-11-08,ge,2023-11-09,91.26,2023-11-15,93.34,90.86,6065021.0,3.0,2.279202279202277,-82.49895585087582
2023-11-08,rcl,2023-11-09,95.5,2023-11-15,103.37,95.42,3787500.0,3.0,8.240837696335083,-74.25811815454074
2023-11-08,dkng,2023-11-09,35.5,2023-11-16,36.37,36.04,12811600.0,4.0,2.4507042253521054,-71.80741392918863
2023-11-08,idya,2023-11-09,30.93,2023-11-10,30.0,30.92,1463400.0,0.0,-3.006789524733268,-74.81420345392189
2023-11-08,celh,2023-11-09,60.41,2023-11-10,57.97,59.76,10509600.0,0.0,-4.0390663797384505,-78.85326983366033
2023-11-09,vrt,2023-11-10,40.01,2024-01-09,48.42,39.97,6119900.0,38.0,21.019745063734078,-57.83352476992626
2023-11-09,edu,2023-11-10,67.22,2023-11-13,68.33,67.62,1573100.0,0.0,1.6512942576614096,-56.182230512264844
2023-11-09,nvda,2023-11-10,475.0,2023-12-05,454.66,469.5,54049600.0,15.0,-4.282105263157889,-60.46433577542273
2023-11-09,bbio,2023-11-10,27.15,2023-11-13,27.26,27.07,1117800.0,0.0,0.4051565377532339,-60.0591792376695
2023-11-10,bldr,2023-11-13,123.1,2023-11-14,127.5,124.32,1085900.0,0.0,3.5743298131600376,-56.48484942450946
2023-11-10,ftai,2023-11-13,40.2,2023-11-14,42.24,41.07,1377100.0,0.0,5.07462686567164,-51.41022255883782
2023-11-10,rmbs,2023-11-13,62.27,2023-11-14,64.9,62.69,1284000.0,0.0,4.22354263690381,-47.186679921934015
2023-11-13,xpo,2023-11-14,86.55,2023-11-16,85.5,84.84,1522600.0,1.0,-1.213171577123047,-48.399851499057064
2023-11-13,edu,2023-11-14,69.9,2023-11-20,70.35,69.51,1119600.0,3.0,0.6437768240343185,-47.756074675022745
2023-11-13,bbio,2023-11-14,29.21,2023-11-21,28.66,27.52,1052700.0,4.0,-1.8829168093118818,-49.638991484334625
2023-11-14,aaoi,2023-11-15,12.22,2023-11-22,13.62,12.28,5085000.0,4.0,11.456628477905062,-38.18236300642956
2023-11-14,mod,2023-11-15,50.0,2023-11-16,49.24,49.66,1016000.0,0.0,-1.519999999999996,-39.70236300642956
2023-11-14,mnso,2023-11-15,27.12,2023-11-20,26.23,26.4,1169700.0,2.0,-3.2817109144542793,-42.98407392088384
2023-11-15,elf,2023-11-16,110.16,2023-11-22,112.11,113.21,2272500.0,3.0,1.7701525054466256,-41.21392141543721
2023-11-15,smci,2023-11-16,283.0,2023-11-27,284.11,287.78,3605500.0,5.0,0.39222614840989883,-40.821695267027316
2023-11-15,rmbs,2023-11-16,66.0,2023-11-20,65.86,66.52,1104700.0,1.0,-0.21212121212121296,-41.03381647914853
2023-11-16,iot,2023-11-17,26.63,2023-11-27,27.19,26.58,1815700.0,4.0,2.102891475779205,-38.930925003369325
2023-11-17,bldr,2023-11-20,132.82,2023-11-27,133.72,133.59,2192000.0,3.0,0.6776087938563513,-38.253316209512974
2023-11-17,anf,2023-11-20,73.27,2023-11-27,73.6,73.57,2648200.0,3.0,0.4503889722942518,-37.802927237218725
2023-11-17,dkng,2023-11-20,38.46,2023-12-14,38.17,38.37,15599600.0,16.0,-0.754030161206446,-38.55695739842517
2023-11-20,vist,2023-11-21,30.1,2023-11-22,29.66,30.09,2456400.0,0.0,-1.4617940199335588,-40.018751418358725
2023-11-21,bbio,2023-11-22,28.86,2023-11-24,29.19,28.31,1034300.0,0.0,1.1434511434511498,-38.87530027490757
2023-11-21,edu,2023-11-22,72.23,2023-11-24,72.27,71.96,1072000.0,0.0,0.05537865152982423,-38.81992162337775
2023-11-21,rmbs,2023-11-22,67.82,2023-11-24,67.51,66.93,1412800.0,0.0,-0.45709230315539384,-39.277013926533144
2023-11-22,sym,2023-11-24,52.03,2023-11-27,51.0,53.86,2221600.0,0.0,-1.9796271381895083,-41.25664106472265
2023-11-22,xpo,2023-11-24,88.57,2023-11-27,88.79,88.89,1038600.0,0.0,0.24839110308232257,-41.00824996164033
2023-11-22,meta,2023-11-24,340.13,2023-12-05,318.98,341.49,10702700.0,6.0,-6.218210684150171,-47.2264606457905
2023-11-24,nvo,2023-11-27,104.88,2023-11-28,101.87,105.45,4598700.0,0.0,-2.8699466056445377,-50.09640725143504
2023-11-24,pltr,2023-11-27,19.13,2023-11-28,19.11,19.2,39800400.0,0.0,-0.10454783063251216,-50.20095508206755
2023-11-24,shop,2023-11-27,71.81,2023-11-28,72.42,70.35,5062800.0,0.0,0.8494638629717302,-49.35149121909582
2023-11-24,edu,2023-11-27,75.0,2023-11-28,76.21,75.4,1191600.0,0.0,1.6133333333333248,-47.7381578857625
2023-11-24,uber,2023-11-27,55.47,2023-11-28,55.98,55.32,10696800.0,0.0,0.9194159004867462,-46.81874198527575
2023-11-24,vist,2023-11-27,32.42,2023-11-28,32.12,31.89,1060700.0,0.0,-0.9253547193090815,-47.744096704584834
2023-11-27,imvt,2023-11-28,34.52,2023-12-08,39.63,33.54,1311700.0,7.0,14.803012746234065,-32.94108395835077
2023-11-27,bbio,2023-11-28,29.63,2023-12-06,31.9,29.79,1408600.0,5.0,7.661154235572054,-25.27992972277871
2023-11-27,smci,2023-11-28,291.03,2023-12-01,262.26,290.37,2357000.0,2.0,-9.885578806308622,-35.16550852908733
2023-11-27,elf,2023-11-28,117.07,2023-12-06,125.69,117.44,1542400.0,5.0,7.363116084393957,-27.802392444693375
2023-11-27,eh,2023-11-28,19.0,2023-11-29,18.98,19.02,2014300.0,0.0,-0.1052631578947346,-27.90765560258811
2023-11-27,coco,2023-11-28,29.91,2023-11-29,28.84,30.04,2311600.0,0.0,-3.5773988632564366,-31.48505446584455
2023-11-28,vist,2023-11-29,31.0,2023-11-30,30.6,30.89,1100400.0,0.0,-1.2903225806451568,-32.77537704648971
2023-11-28,anf,2023-11-29,78.0,2023-12-11,79.46,77.73,1394300.0,7.0,1.8717948717948636,-30.903582174694844
2023-11-29,edu,2023-11-30,80.0,2023-12-08,79.05,78.35,1687900.0,5.0,-1.1875000000000036,-32.09108217469485
2023-11-30,iot,2023-12-01,31.0,2024-01-03,30.78,27.54,5156300.0,20.0,-0.709677419354835,-32.80075959404968
2023-12-04,bldr,2023-12-05,136.69,2023-12-27,169.03,136.86,2082900.0,14.0,23.659375228619506,-9.141384365430174
2023-12-04,rmbs,2023-12-05,64.5,2023-12-11,65.99,64.85,3220800.0,3.0,2.310077519379837,-6.831306846050337
2023-12-05,mltx,2023-12-06,52.31,2023-12-07,51.83,52.0,1750800.0,0.0,-0.9176065761804701,-7.748913422230807
2023-12-05,xpo,2023-12-06,85.66,2023-12-07,81.29,84.95,2460600.0,0.0,-5.1015643240719015,-12.850477746302708
2023-12-06,rcl,2023-12-07,118.17,2023-12-18,122.68,118.17,3987900.0,6.0,3.8165354997038206,-9.033942246598887
2023-12-06,bbio,2023-12-07,32.56,2023-12-12,33.01,32.41,1918700.0,2.0,1.3820638820638689,-7.651878364535018
2023-12-07,cls,2023-12-08,26.5,2023-12-13,27.14,26.65,2238300.0,2.0,2.4150943396226436,-5.2367840249123745
2023-12-07,lpg,2023-12-08,38.76,2023-12-12,37.13,38.69,2009100.0,1.0,-4.205366357069132,-9.442150381981506
2023-12-08,aclx,2023-12-11,54.29,2023-12-13,48.29,56.22,1293300.0,1.0,-11.051759071652238,-20.493909453633744
2023-12-08,ypf,2023-12-11,17.15,2023-12-15,17.51,17.14,2812700.0,3.0,2.0991253644315044,-18.39478408920224
2023-12-11,imvt,2023-12-12,40.29,2023-12-21,40.41,39.78,1017600.0,6.0,0.2978406552494352,-18.096943433952806
2023-12-11,anf,2023-12-12,81.6,2023-12-28,90.5,81.63,1404200.0,10.0,10.906862745098046,-7.19008068885476
2023-12-12,elf,2023-12-13,132.01,2023-12-22,144.95,131.07,1262600.0,6.0,9.802287705476857,2.612207016622097
2023-12-12,edu,2023-12-13,81.64,2023-12-18,77.91,82.76,1427500.0,2.0,-4.5688388045076,-1.9566317878855024
2023-12-13,bbio,2023-12-14,36.09,2024-01-18,37.57,35.2,1618200.0,21.0,4.100858963701847,2.1442271758163445
2023-12-14,slno,2023-12-15,37.83,2023-12-19,38.15,37.18,1157500.0,1.0,0.8458895056833209,2.990116681499665
2023-12-15,mltx,2023-12-18,60.65,2023-12-19,59.67,60.65,1408200.0,0.0,-1.615828524319863,1.3742881571798022
2023-12-15,ionq,2023-12-18,14.6,2023-12-21,13.83,14.93,12591600.0,2.0,-5.273972602739723,-3.89968444555992
2023-12-18,nuvl,2023-12-19,74.96,2023-12-20,74.07,75.43,1077400.0,0.0,-1.187299893276415,-5.086984338836335
2023-12-18,smci,2023-12-19,315.0,2024-01-04,280.5,322.19,5741000.0,9.0,-10.952380952380953,-16.039365291217287
2023-12-19,wfrd,2023-12-20,96.14,2023-12-22,98.5,95.75,1073900.0,1.0,2.454753484501768,-13.584611806715518
2023-12-20,nvda,2023-12-21,488.11,2024-01-04,477.67,481.11,39789400.0,7.0,-2.1388621417303475,-15.723473948445866
2023-12-20,tdw,2023-12-21,68.9,2023-12-22,71.82,68.35,1063400.0,0.0,4.23802612481856,-11.485447823627307
2023-12-21,ionq,2023-12-22,13.91,2023-12-26,13.67,13.79,4937300.0,0.0,-1.7253774263120074,-13.210825249939315
2023-12-21,meta,2023-12-22,355.58,2024-01-22,387.95,354.09,15289600.0,17.0,9.103436638731088,-4.107388611208227
2023-12-21,imvt,2023-12-22,39.18,2024-01-02,41.5,39.1,3781500.0,4.0,5.9213884635017875,1.81399985229356
2023-12-22,elf,2023-12-26,144.26,2023-12-27,143.92,143.84,1061500.0,0.0,-0.23568556772494345,1.5783142845686167
